sexo,provincia,edad,ocupacion,cant_vuelos,clase_preferida,gasto_acumulado,programaMillas,cantidad_millas,ingreso_mensual,anticipacion_compra_promedio,canal_compra
M,Pernambuco,39,Arquitecto,5,Económica,755.68,No,0,2859,13,App
F,Misiones,46,Empleado,14,Económica,4118.77,Sí,5150,2045,18,Agencia
F,Tucumán,30,Empleado,23,Económica,8812.09,No,0,3087,11,App
M,São Paulo,33,Médico,7,Económica,1117.69,Sí,5552,3786,17,App
M,Antioquia,47,Empleado,21,Económica,2102.43,No,0,1231,4,Web
F,Colón,45,Ejecutivo,34,Económica,5566.35,No,0,6123,15,App
F,Los Santos,39,Ingeniero,3,Económica,374.28,No,0,2288,10,Agencia
M,Antioquia,18,Estudiante,6,Ejecutiva,2669.14,No,0,473,41,App
F,Los Santos,33,Docente,24,Económica,6990.95,No,0,1605,0,Web
M,Misiones,38,Empleado,7,Económica,1108.91,No,0,1589,57,App
F,Buenos Aires,35,Empleado,21,Económica,5276.93,No,0,1032,5,Web
M,Bolívar,22,Empleado,17,Económica,3176.08,Sí,17969,1115,13,App
M,Pernambuco,28,Profesional independiente,12,Económica,2737.81,No,0,1034,12,Web
M,Atlántico,24,Médico,23,Ejecutiva,13719.67,No,0,5023,97,App
M,Minas Gerais,52,Deportista,90,Económica,12190.55,Sí,27915,576,74,Web
F,Pernambuco,48,Ejecutivo,59,Económica,23285.67,No,0,2982,1,Agencia
F,Salta,44,Ingeniero,2,Económica,225.29,No,0,3352,13,Web
M,Chaco,43,Docente,13,Económica,2038.22,Sí,11473,1454,19,Web
M,Buenos Aires,31,Empleado,6,Económica,797.42,No,0,1185,27,Web
M,Cundinamarca,18,Estudiante,3,Económica,644.77,No,0,367,65,Web
F,Veraguas,42,Empleado,5,Económica,1014.77,No,0,2919,54,App
M,Misiones,30,Ingeniero,7,Económica,1963.27,Sí,6132,3445,52,App
F,Entre Ríos,18,Estudiante,3,Económica,894.77,No,0,401,67,Web
F,Mendoza,24,Profesional independiente,6,Económica,900.46,No,0,1952,33,App
M,Santa Fe,19,Empleado,16,Económica,3112.97,No,0,1272,29,Web
M,Chaco,43,Empresario,30,Económica,6131.36,No,0,5677,9,Web
M,Nariño,68,Jubilado,3,Económica,562.38,No,0,485,21,App
M,Chiriquí,18,Estudiante,4,Económica,1323.07,No,0,399,35,App
M,Antioquia,30,Comerciante,16,Ejecutiva,5250.93,No,0,2061,12,Web
M,Santa Fe,39,Empleado,10,Económica,2566.67,No,0,2217,3,Web
F,Pernambuco,47,Ejecutivo,27,Económica,9750.1,Sí,15145,3867,11,Web
M,Cundinamarca,41,Médico,21,Económica,5094.93,No,0,6772,5,Agencia
M,Veraguas,31,Ingeniero,4,Ejecutiva,2725.61,Sí,9847,5088,4,App
M,Mendoza,35,Ingeniero,23,Ejecutiva,10425.15,No,0,5240,1,Agencia
M,Colón,37,Ingeniero,19,Económica,2274.38,No,0,2902,4,Aeropuerto
M,CABA,26,Profesional independiente,17,Económica,5243.55,No,0,1430,2,App
F,Misiones,29,Ejecutivo,63,Económica,6196.75,No,0,3894,1,Aeropuerto
F,Córdoba,32,Contador,20,Económica,6197.82,No,0,4773,5,App
M,Córdoba,35,Arquitecto,6,Económica,1428.14,No,0,1732,30,App
F,Tucumán,41,Docente,1,Económica,376.61,Sí,716,689,32,Web
M,Entre Ríos,59,Profesional independiente,16,Económica,3453.54,No,0,2904,2,Web
F,Misiones,57,Empleado,9,Económica,1416.83,No,0,2575,74,Aeropuerto
F,Pernambuco,28,Ejecutivo,70,Económica,18247.22,Sí,24506,6175,24,Web
M,Cundinamarca,32,Empresario,57,Económica,12356.01,No,0,2640,3,Web
M,Los Santos,25,Comerciante,24,Económica,7928.84,No,0,2160,10,App
M,Paraná,50,Docente,16,Económica,2145.22,No,0,740,0,App
F,Salta,37,Ingeniero,9,Ejecutiva,4607.45,No,0,3106,23,Agencia
M,Paraná,28,Empleado,2,Económica,409.3,No,0,540,35,Web
M,Misiones,25,Médico,28,Económica,8355.03,No,0,5334,11,App
F,CABA,57,Empleado,20,Económica,1844.44,No,0,1947,15,Agencia
F,Buenos Aires,62,Docente,24,Económica,3786.01,No,0,1345,10,Agencia
M,Córdoba,21,Empleado,22,Ejecutiva,10014.69,No,0,1488,0,App
F,Colón,30,Empleado,2,Económica,520.65,No,0,1650,6,Web
M,Misiones,37,Docente,24,Económica,2663.22,Sí,9106,1107,28,Web
F,Cundinamarca,38,Empleado,14,Económica,3913.94,No,0,1222,1,App
No binario,Entre Ríos,42,Ingeniero,24,Ejecutiva,17063.24,Sí,30927,5044,4,Web
M,Los Santos,18,Estudiante,1,Económica,108.0,Sí,898,346,70,Web
M,CABA,43,Otro,15,Económica,4611.01,Sí,14778,1318,26,App
F,Cundinamarca,50,Empleado,4,Ejecutiva,2756.52,No,0,1030,4,App
M,Buenos Aires,46,Ingeniero,18,Económica,4602.83,No,0,2422,10,App
F,Veraguas,25,Empleado,3,Económica,252.86,No,0,1461,32,App
M,Rio de Janeiro,36,Empleado,8,Económica,823.57,No,0,577,102,App
M,Córdoba,18,Empleado,14,Económica,4257.9,No,0,1496,18,Web
F,Salta,46,Ingeniero,23,Económica,2846.91,No,0,6483,15,App
M,Tucumán,58,Empleado,4,Económica,731.91,No,0,1070,0,Web
M,Minas Gerais,22,Empleado,23,Económica,3481.91,Sí,12641,1443,24,Aeropuerto
M,Tucumán,29,Docente,9,Ejecutiva,5185.3,No,0,1053,26,Aeropuerto
M,Santander,33,Empleado,15,Económica,4134.01,Sí,16170,1545,28,Agencia
F,Pernambuco,56,Otro,19,Económica,3033.8,Sí,6557,2557,0,Aeropuerto
M,Córdoba,54,Comerciante,12,Ejecutiva,3814.1,Sí,15796,2442,0,Web
F,Bahia,35,Profesional independiente,16,Económica,2080.67,No,0,1648,5,App
M,Salta,49,Ejecutivo,16,Económica,1916.06,Sí,4852,2151,0,Web
F,Córdoba,43,Empleado,3,Económica,741.33,No,0,2510,4,Web
F,Santa Fe,40,Arquitecto,2,Económica,293.11,No,0,2119,12,Agencia
M,Mendoza,35,Comerciante,3,Económica,443.75,No,0,1427,11,Web
M,Herrera,30,Arquitecto,12,Económica,2371.04,No,0,3031,5,App
F,Pernambuco,24,Empleado,12,Económica,1344.54,No,0,1357,28,Aeropuerto
M,Entre Ríos,50,Empleado,18,Económica,5038.67,No,0,2643,49,App
M,Tucumán,26,Empleado,11,Económica,2492.48,No,0,1116,41,Web
F,Rio Grande do Sul,22,Empleado,9,Económica,2450.37,No,0,2048,45,App
F,Cundinamarca,45,Profesional independiente,24,Económica,6095.21,Sí,9895,2122,10,Web
F,Santa Fe,35,Comerciante,4,Económica,683.03,No,0,1905,0,Agencia
M,Bolívar,18,Estudiante,7,Económica,1989.84,Sí,6958,423,69,Web
M,Buenos Aires,26,Ingeniero,13,Económica,1246.05,Sí,12776,2591,4,Agencia
M,Buenos Aires,49,Médico,10,Económica,2133.18,No,0,4318,86,App
M,Santa Fe,23,Estudiante,2,Económica,395.52,No,0,770,1,Aeropuerto
F,Los Santos,25,Comerciante,21,Ejecutiva,10456.65,No,0,3456,18,App
F,Salta,62,Empresario,33,Económica,7346.1,Sí,22261,3335,0,Web
M,Bolívar,36,Ingeniero,13,Económica,2060.89,Sí,4217,4736,2,Web
F,Misiones,50,Otro,11,Económica,1815.41,Sí,5239,1067,29,App
M,Entre Ríos,50,Arquitecto,4,Ejecutiva,1102.63,No,0,5221,8,App
M,Paraná,63,Jubilado,11,Económica,2478.19,No,0,1428,0,Agencia
M,Colón,19,Estudiante,5,Económica,1421.78,No,0,469,9,Web
M,São Paulo,45,Empleado,23,Económica,7064.15,Sí,10094,2505,10,App
M,Misiones,40,Ingeniero,6,Ejecutiva,1796.74,No,0,4462,22,App
F,Santander,64,Jubilado,10,Ejecutiva,7296.51,No,0,1005,38,Agencia
M,Tucumán,27,Arquitecto,14,Económica,2034.78,Sí,7948,3323,11,App
F,Chaco,56,Empleado,14,Económica,4074.97,No,0,2072,15,Agencia
F,Cundinamarca,30,Docente,12,Económica,1111.56,No,0,1092,12,App
M,Valle del Cauca,33,Otro,7,Ejecutiva,1846.15,No,0,742,97,Agencia
F,Paraná,38,Empleado,22,Económica,7096.7,No,0,1602,2,Agencia
F,Veraguas,37,Ingeniero,22,Ejecutiva,7651.98,No,0,3717,11,Web
F,Santa Fe,39,Empleado,16,Económica,3985.62,Sí,12502,1688,13,Web
F,Cundinamarca,38,Ejecutivo,34,Económica,9371.67,Sí,19042,8126,0,App
M,Cundinamarca,37,Médico,6,Económica,1508.13,Sí,1846,5307,41,App
M,Bolívar,40,Empresario,18,Ejecutiva,7322.94,Sí,24900,7932,10,Web
F,Santander,46,Docente,7,Económica,692.75,No,0,1357,61,Agencia
F,Rio de Janeiro,41,Profesional independiente,9,Económica,1827.98,No,0,1842,9,Web
F,Bahia,46,Ejecutivo,51,Económica,11035.34,No,0,3184,31,Web
M,Veraguas,35,Docente,5,Económica,1052.43,No,0,991,30,Web
M,Entre Ríos,18,Estudiante,3,Económica,374.85,No,0,553,13,App
M,Antioquia,38,Ejecutivo,51,Económica,15879.43,No,0,1404,21,App
M,Mendoza,58,Comerciante,9,Económica,1444.76,No,0,2962,6,Web
No binario,Buenos Aires,30,Abogado,10,Económica,1365.61,No,0,4457,3,Web
F,Pernambuco,53,Ingeniero,3,Económica,959.65,Sí,1834,2325,5,Aeropuerto
M,Córdoba,25,Profesional independiente,1,Económica,197.68,No,0,1380,3,Agencia
F,Salta,45,Empleado,8,Ejecutiva,6585.07,No,0,1831,7,Agencia
F,Panamá,28,Empleado,14,Económica,4050.92,No,0,1669,2,Web
F,Entre Ríos,38,Docente,11,Económica,2144.7,No,0,1474,12,Web
F,Herrera,49,Abogado,6,Primera clase,8962.66,No,0,5759,11,Aeropuerto
F,Nariño,51,Ingeniero,10,Económica,2956.8,No,0,3270,23,Web
M,Bolívar,38,Ingeniero,5,Económica,1152.86,No,0,3455,2,Web
M,Herrera,38,Empresario,52,Económica,10661.26,Sí,26080,2785,2,App
M,Antioquia,29,Empleado,5,Económica,1175.55,No,0,2898,18,App
M,Santander,28,Docente,17,Económica,5333.41,No,0,2318,0,App
F,Paraná,40,Comerciante,8,Económica,2791.83,No,0,1618,44,Agencia
F,Buenos Aires,37,Empleado,15,Económica,4130.1,No,0,1751,23,Web
F,Colón,32,Empresario,52,Económica,11231.03,Sí,24632,2861,40,App
M,Colón,49,Empleado,3,Económica,475.89,No,0,944,30,Web
F,CABA,44,Empleado,12,Económica,3356.92,No,0,1897,25,Web
M,Tucumán,33,Médico,26,Económica,7068.26,No,0,2968,57,Agencia
M,Buenos Aires,42,Empresario,24,Ejecutiva,10230.22,No,0,7947,0,Aeropuerto
M,Antioquia,27,Empresario,37,Económica,4036.23,No,0,2749,1,Web
M,Colón,43,Empleado,13,Económica,2127.53,No,0,1347,1,App
M,Córdoba,46,Empleado,17,Económica,2560.66,No,0,1964,37,App
F,Misiones,39,Comerciante,3,Económica,989.69,No,0,2452,5,App
M,Salta,44,Empresario,43,Ejecutiva,13070.3,No,0,7745,1,Agencia
M,Buenos Aires,18,Estudiante,5,Ejecutiva,1233.59,No,0,320,8,Agencia
M,Valle del Cauca,28,Otro,11,Económica,3026.91,No,0,1612,12,App
F,Atlántico,50,Empresario,50,Económica,6502.11,Sí,34742,1872,44,App
F,Paraná,36,Arquitecto,14,Económica,2679.31,No,0,3272,26,Web
F,Misiones,26,Ingeniero,24,Ejecutiva,20635.01,No,0,5862,1,App
F,Entre Ríos,35,Empleado,8,Ejecutiva,3036.56,Sí,17609,1752,22,Aeropuerto
F,Rio de Janeiro,50,Médico,24,Económica,6171.47,No,0,7601,20,App
F,Córdoba,20,Estudiante,3,Económica,319.13,No,0,591,49,Web
M,Tucumán,57,Empleado,15,Económica,2149.75,Sí,10439,990,7,Aeropuerto
M,Buenos Aires,18,Empleado,8,Económica,1671.65,No,0,1231,45,Web
F,Colón,54,Ingeniero,19,Ejecutiva,8588.05,No,0,4591,6,Web
F,Valle del Cauca,38,Deportista,92,Económica,14789.44,No,0,3851,75,App
F,Nariño,34,Empresario,13,Ejecutiva,4941.17,No,0,4360,31,Web
M,Herrera,43,Empleado,1,Económica,140.44,No,0,931,0,Web
F,Bahia,31,Empleado,3,Económica,593.22,Sí,2067,1823,11,App
M,Misiones,54,Empleado,16,Económica,2222.79,No,0,1385,27,App
M,Valle del Cauca,45,Comerciante,16,Económica,1214.64,No,0,2243,5,Agencia
M,Pernambuco,35,Empleado,12,Económica,1606.45,No,0,1133,11,Agencia
F,Santander,32,Empleado,23,Económica,3358.95,Sí,16929,1435,5,Web
M,Entre Ríos,60,Comerciante,19,Ejecutiva,6752.35,No,0,1914,0,Agencia
M,Entre Ríos,61,Arquitecto,7,Económica,1325.24,Sí,6287,2529,1,Agencia
M,Córdoba,42,Comerciante,3,Económica,358.66,No,0,1730,13,App
F,Santa Fe,33,Ingeniero,17,Económica,5397.57,No,0,4112,14,App
F,Pernambuco,27,Comerciante,9,Económica,3384.64,No,0,1884,8,Web
M,Rio Grande do Sul,61,Ingeniero,7,Ejecutiva,2413.04,No,0,2741,29,Aeropuerto
F,Chaco,22,Estudiante,7,Económica,2020.09,No,0,504,43,Web
M,Santa Fe,40,Docente,12,Económica,2414.13,No,0,1061,38,App
F,Salta,34,Empleado,3,Económica,582.74,No,0,1154,25,App
F,Panamá,49,Docente,3,Ejecutiva,1447.03,No,0,1278,0,App
M,Mendoza,33,Médico,17,Económica,3552.21,No,0,5011,0,Agencia
F,CABA,36,Comerciante,19,Económica,7126.75,No,0,2809,32,App
M,Santander,33,Comerciante,4,Económica,532.7,No,0,1320,6,App
M,Santa Fe,36,Docente,13,Económica,2403.22,No,0,1209,17,App
M,CABA,27,Profesional independiente,2,Económica,409.32,No,0,2160,15,App
M,Valle del Cauca,40,Otro,20,Económica,4201.79,No,0,1196,9,Aeropuerto
F,Buenos Aires,38,Médico,27,Económica,7298.72,No,0,4212,6,App
F,CABA,28,Empleado,5,Económica,720.62,No,0,760,75,Web
M,Buenos Aires,40,Contador,1,Económica,313.73,No,0,2664,7,Agencia
M,Córdoba,44,Médico,12,Ejecutiva,4643.67,No,0,3649,14,App
F,Los Santos,37,Otro,1,Económica,338.77,No,0,1222,9,App
F,Pernambuco,45,Empleado,17,Económica,5173.8,Sí,15671,3738,23,App
M,Nariño,35,Médico,20,Primera clase,21259.82,No,0,3788,6,Agencia
F,Antioquia,26,Médico,13,Económica,1075.82,No,0,6049,11,App
F,Minas Gerais,45,Empleado,24,Económica,6463.91,No,0,1127,11,App
M,São Paulo,41,Empleado,17,Económica,1709.67,No,0,2248,63,Web
F,Entre Ríos,23,Estudiante,3,Económica,332.78,No,0,380,56,Agencia
F,Bahia,42,Comerciante,14,Económica,1514.3,Sí,6632,1272,26,App
F,Córdoba,46,Profesional independiente,24,Ejecutiva,13386.8,No,0,3204,6,Web
M,Bolívar,46,Docente,11,Económica,3949.38,No,0,996,0,App
M,Santa Fe,57,Ejecutivo,75,Económica,22181.6,No,0,3403,28,Web
F,Córdoba,55,Empleado,7,Económica,1062.33,No,0,1249,19,App
F,Chaco,54,Docente,11,Económica,1590.07,No,0,1277,15,Aeropuerto
F,Tolima,48,Docente,17,Económica,2392.92,No,0,1316,5,Agencia
F,Córdoba,37,Profesional independiente,3,Económica,762.42,No,0,1381,4,App
F,Córdoba,38,Empleado,2,Económica,274.76,No,0,1236,26,App
F,Mendoza,52,Comerciante,11,Económica,1740.6,No,0,2819,0,App
F,Panamá,41,Contador,14,Económica,1770.08,No,0,1853,37,Web
M,Mendoza,33,Docente,21,Económica,5340.13,No,0,1174,5,Web
F,Cundinamarca,46,Contador,16,Económica,6112.3,Sí,8009,2351,9,Web
M,Nariño,33,Empresario,20,Económica,4602.26,No,0,2921,5,Web
F,Colón,61,Ejecutivo,68,Ejecutiva,20602.11,No,0,4933,3,App
F,Santa Fe,42,Contador,21,Económica,5943.18,No,0,3077,2,Web
F,Santander,39,Comerciante,10,Ejecutiva,4053.02,No,0,4093,95,Web
F,Chaco,23,Estudiante,6,Económica,881.76,No,0,457,74,App
No binario,Minas Gerais,31,Empleado,6,Económica,724.74,No,0,2334,25,Agencia
F,Minas Gerais,35,Empleado,13,Económica,4579.77,No,0,2474,3,Web
M,Salta,67,Jubilado,8,Económica,1840.98,No,0,707,2,Web
M,Salta,24,Ingeniero,15,Económica,3812.85,No,0,2827,4,App
M,Entre Ríos,56,Docente,6,Económica,1180.09,No,0,963,1,Web
M,Córdoba,49,Contador,13,Económica,3318.41,No,0,2417,111,Agencia
M,Paraná,41,Contador,7,Económica,1738.93,No,0,2532,32,App
M,Misiones,18,Empleado,2,Económica,486.04,No,0,1530,21,Web
M,Colón,47,Ejecutivo,44,Económica,7293.93,No,0,2523,4,App
M,Entre Ríos,18,Estudiante,2,Económica,555.82,No,0,466,2,App
F,Tucumán,38,Otro,15,Económica,2709.13,No,0,1820,0,Agencia
M,Los Santos,43,Docente,8,Económica,1828.58,No,0,1220,9,Aeropuerto
F,Entre Ríos,25,Docente,24,Económica,5604.25,No,0,1460,0,App
F,Santa Fe,28,Empleado,18,Económica,2029.67,No,0,777,18,App
F,Panamá,42,Médico,15,Económica,1621.62,No,0,4013,7,Agencia
F,Santa Fe,18,Estudiante,1,Ejecutiva,436.19,No,0,432,18,Web
M,Atlántico,40,Profesional independiente,24,Ejecutiva,8584.33,No,0,959,33,Aeropuerto
F,Colón,28,Empleado,7,Económica,1730.55,No,0,1109,2,App
F,Salta,41,Empleado,20,Ejecutiva,8732.96,No,0,1172,11,Web
M,Paraná,30,Empleado,20,Económica,3917.7,No,0,2125,18,Web
F,Rio de Janeiro,33,Contador,11,Económica,2559.4,No,0,3184,48,Agencia
F,Veraguas,35,Docente,16,Económica,3166.55,No,0,823,0,App
M,Atlántico,27,Empleado,12,Económica,3333.45,No,0,1519,4,App
M,Bahia,57,Empresario,38,Económica,4450.97,No,0,2796,0,Web
M,Bahia,31,Empleado,7,Económica,1924.86,Sí,3850,1474,0,Web
M,Pernambuco,59,Comerciante,10,Económica,2537.55,No,0,2195,3,Agencia
M,Chaco,54,Empleado,13,Económica,2123.55,No,0,940,18,Web
M,Santa Fe,43,Profesional independiente,7,Económica,1918.56,No,0,1262,39,Aeropuerto
F,Mendoza,38,Otro,18,Económica,3527.96,No,0,3362,26,App
M,Paraná,36,Empleado,17,Económica,4516.48,Sí,9622,1577,10,App
M,Nariño,37,Docente,16,Económica,5029.41,No,0,1212,7,Web
M,Chiriquí,38,Empleado,19,Económica,3237.93,No,0,1828,18,Web
F,Pernambuco,42,Médico,9,Ejecutiva,7036.2,Sí,10262,6439,20,Web
M,Pernambuco,59,Empleado,8,Económica,2843.07,No,0,1084,53,Web
F,Paraná,36,Abogado,15,Económica,2934.5,Sí,5406,2529,8,Agencia
F,CABA,45,Profesional independiente,10,Económica,968.38,No,0,4144,17,App
F,Mendoza,27,Comerciante,5,Económica,579.52,No,0,1571,5,App
M,Santander,35,Empresario,31,Económica,6439.1,No,0,5726,7,App
F,Buenos Aires,35,Abogado,20,Ejecutiva,9859.8,No,0,5867,107,Agencia
M,Córdoba,33,Abogado,10,Ejecutiva,7004.83,Sí,10825,4908,8,App
M,Misiones,48,Médico,15,Económica,2299.07,No,0,4269,8,Web
M,Santander,37,Otro,12,Económica,4510.03,Sí,4871,2903,32,Web
F,Salta,45,Empleado,3,Económica,691.56,No,0,1135,11,App
M,Paraná,25,Comerciante,4,Económica,348.54,No,0,1143,41,Web
M,Entre Ríos,25,Empleado,13,Económica,1373.59,Sí,5620,3118,9,App
F,Buenos Aires,54,Profesional independiente,7,Económica,1833.91,Sí,3568,2117,8,Aeropuerto
M,Chiriquí,51,Ingeniero,11,Ejecutiva,8606.8,No,0,3713,20,App
F,Buenos Aires,38,Arquitecto,22,Ejecutiva,15609.76,No,0,2610,3,Web
M,Rio de Janeiro,44,Ejecutivo,64,Ejecutiva,18431.89,No,0,5083,17,Web
M,Santa Fe,30,Ingeniero,17,Ejecutiva,7496.56,No,0,3132,60,App
F,CABA,52,Deportista,35,Económica,6903.25,Sí,22138,1085,10,Aeropuerto
M,Misiones,25,Contador,17,Económica,3703.74,No,0,2441,28,App
F,Pernambuco,26,Ingeniero,23,Económica,8589.92,No,0,2630,3,Aeropuerto
F,Córdoba,41,Empleado,19,Económica,3396.77,No,0,2325,49,Web
M,Santa Fe,42,Empleado,22,Económica,6415.01,Sí,15354,3458,42,App
F,Cundinamarca,18,Estudiante,7,Económica,1974.73,Sí,2174,356,7,App
F,Santander,30,Empleado,13,Económica,3821.79,No,0,498,18,Web
M,Santa Fe,23,Empleado,19,Económica,4381.92,No,0,1462,1,Aeropuerto
M,Misiones,34,Docente,13,Económica,4744.85,No,0,2122,51,Agencia
F,Córdoba,27,Docente,19,Económica,2096.42,Sí,4856,1090,4,Web
F,Santander,47,Comerciante,14,Económica,2547.38,No,0,3349,6,Web
F,São Paulo,45,Profesional independiente,7,Económica,1124.96,Sí,4629,2546,6,App
M,Tolima,43,Profesional independiente,6,Económica,625.75,Sí,1786,1776,11,Web
F,Veraguas,34,Profesional independiente,9,Económica,2464.0,Sí,8655,2556,25,App
F,Córdoba,54,Contador,15,Económica,1976.89,No,0,2540,6,Web
F,Cundinamarca,24,Comerciante,17,Económica,4065.42,No,0,1092,21,Agencia
M,Tucumán,40,Deportista,48,Económica,10195.72,No,0,7615,3,Web
M,Entre Ríos,61,Abogado,22,Económica,5312.8,No,0,5986,8,Web
M,Tucumán,33,Contador,20,Económica,5321.55,No,0,2729,34,Web
M,Mendoza,31,Arquitecto,21,Económica,6080.12,Sí,19889,1821,4,App
F,Santander,40,Otro,6,Económica,735.61,Sí,2658,2016,77,Web
F,Buenos Aires,37,Empleado,24,Económica,2508.46,Sí,23484,914,9,Web
F,Buenos Aires,44,Empresario,16,Económica,3347.69,Sí,11990,2798,4,Web
M,Santa Fe,33,Ejecutivo,30,Primera clase,19733.3,No,0,5452,5,App
M,Bolívar,38,Empleado,1,Económica,306.29,No,0,882,5,Web
F,Bolívar,25,Empleado,6,Económica,1399.72,Sí,2894,901,30,App
M,Los Santos,39,Médico,8,Ejecutiva,2686.07,No,0,4560,20,App
F,Colón,44,Empleado,11,Económica,1003.1,No,0,843,14,Web
M,Panamá,22,Otro,20,Ejecutiva,13720.4,No,0,594,18,Web
F,Santander,35,Empleado,15,Económica,1878.13,No,0,628,100,App
M,Tucumán,38,Empleado,4,Económica,757.81,No,0,933,26,Web
F,Tucumán,37,Ingeniero,10,Ejecutiva,4013.68,Sí,23048,5628,0,App
F,Santa Fe,29,Ingeniero,24,Económica,7452.22,No,0,1663,33,Aeropuerto
F,Chaco,48,Otro,11,Ejecutiva,5944.11,No,0,1900,65,App
M,Los Santos,34,Empleado,1,Ejecutiva,650.19,No,0,530,5,App
M,Entre Ríos,41,Profesional independiente,9,Económica,892.12,No,0,1284,1,Web
M,Entre Ríos,38,Empleado,11,Económica,2114.32,No,0,720,14,Web
F,Panamá,43,Empresario,33,Ejecutiva,22393.97,No,0,4856,18,Aeropuerto
No binario,Los Santos,28,Empleado,10,Económica,2751.58,Sí,5674,1431,12,Web
F,Atlántico,28,Otro,5,Económica,678.23,Sí,1808,1437,3,Aeropuerto
M,Tolima,40,Abogado,14,Ejecutiva,9401.2,No,0,4859,2,App
M,Santander,59,Empleado,17,Económica,2582.87,No,0,2395,29,Agencia
F,Salta,30,Ingeniero,21,Económica,5151.52,Sí,18400,2184,3,Agencia
F,Mendoza,47,Docente,3,Económica,593.11,Sí,1300,791,2,Web
M,Buenos Aires,42,Docente,13,Económica,927.61,No,0,1605,3,Web
M,Valle del Cauca,52,Profesional independiente,22,Económica,5524.15,No,0,1854,15,App
M,Buenos Aires,24,Ejecutivo,48,Económica,8056.07,No,0,1898,17,Web
M,Misiones,27,Empleado,24,Económica,5356.49,No,0,2022,22,App
M,Veraguas,25,Profesional independiente,24,Económica,5151.69,Sí,16553,1572,9,App
F,Buenos Aires,42,Médico,24,Ejecutiva,8043.93,No,0,8325,7,Web
F,Valle del Cauca,33,Empresario,21,Ejecutiva,5583.54,No,0,4427,12,Agencia
M,Paraná,22,Estudiante,6,Ejecutiva,1765.17,No,0,412,0,Web
F,Salta,47,Empleado,6,Ejecutiva,1532.57,Sí,16376,1940,9,Web
F,Antioquia,59,Empleado,7,Económica,981.21,No,0,709,74,App
M,Paraná,51,Médico,14,Ejecutiva,5421.19,No,0,3909,67,Web
M,Veraguas,37,Empleado,18,Económica,1897.49,No,0,1852,32,App
M,Santa Fe,49,Ingeniero,21,Ejecutiva,8936.62,No,0,4804,32,Web
M,Tucumán,38,Empleado,8,Económica,1322.65,No,0,1061,8,Web
F,Panamá,40,Profesional independiente,10,Ejecutiva,4917.66,No,0,7688,20,Agencia
F,Mendoza,57,Ingeniero,19,Económica,1590.8,No,0,6492,13,Web
M,Nariño,51,Docente,6,Económica,1076.24,No,0,1345,2,Agencia
M,Tucumán,54,Ingeniero,4,Económica,895.92,No,0,2154,6,Web
F,Entre Ríos,43,Ingeniero,5,Económica,1587.85,No,0,1981,19,App
F,Chaco,44,Empleado,16,Económica,3344.28,No,0,1651,13,Web
F,Pernambuco,18,Empleado,24,Económica,3865.13,No,0,1627,35,App
M,Los Santos,18,Estudiante,5,Económica,903.92,No,0,489,34,App
M,Tucumán,23,Estudiante,7,Ejecutiva,5904.16,No,0,398,4,App
F,Tucumán,25,Empleado,15,Ejecutiva,7014.45,No,0,1218,3,Web
M,Bolívar,31,Contador,23,Económica,7724.89,Sí,6820,3304,9,Web
F,Chiriquí,39,Deportista,50,Económica,12547.33,No,0,499,9,Agencia
F,Chaco,22,Estudiante,4,Económica,788.34,Sí,3730,337,46,Web
F,Nariño,43,Arquitecto,11,Económica,2546.36,No,0,1807,9,Web
M,Santa Fe,56,Profesional independiente,2,Económica,505.59,No,0,5580,2,Web
F,Bahia,46,Arquitecto,7,Económica,1260.04,No,0,6145,53,App
M,Minas Gerais,25,Profesional independiente,23,Ejecutiva,18082.92,No,0,1743,29,App
F,Herrera,36,Arquitecto,21,Económica,2261.8,No,0,2114,40,App
F,Atlántico,32,Comerciante,20,Económica,3368.77,No,0,997,56,Aeropuerto
F,Tolima,21,Estudiante,5,Económica,1732.4,No,0,443,0,App
F,Santander,32,Comerciante,17,Económica,4031.46,Sí,6803,2706,4,Web
M,São Paulo,36,Empresario,37,Económica,4881.02,Sí,16485,7636,36,Web
F,Veraguas,24,Comerciante,5,Económica,573.91,No,0,4639,0,Web
M,Panamá,26,Profesional independiente,3,Económica,1079.62,No,0,8164,6,App
F,Paraná,40,Contador,1,Económica,372.51,No,0,2282,6,Web
F,Panamá,42,Arquitecto,2,Económica,171.93,No,0,2975,4,Agencia
M,Salta,38,Contador,20,Económica,3576.03,No,0,2588,1,Aeropuerto
M,Misiones,32,Ingeniero,14,Económica,4273.12,No,0,3083,29,Web
M,Córdoba,31,Empleado,16,Ejecutiva,12470.23,Sí,16590,2576,35,Web
F,Panamá,33,Profesional independiente,22,Económica,6352.43,No,0,3567,22,Web
M,Herrera,26,Contador,23,Económica,2523.25,No,0,2729,6,App
F,Tucumán,58,Empleado,5,Económica,973.08,No,0,1537,8,Agencia
F,Paraná,37,Médico,24,Económica,2192.7,No,0,6572,6,Web
F,Cundinamarca,21,Empleado,24,Ejecutiva,6838.41,No,0,2253,9,App
F,Chaco,32,Ejecutivo,71,Económica,8965.89,No,0,4249,0,App
M,Valle del Cauca,35,Contador,17,Económica,4410.76,No,0,1390,0,Web
F,Tolima,21,Estudiante,6,Económica,1185.56,No,0,322,41,Web
M,Chiriquí,22,Otro,4,Económica,289.66,No,0,1294,5,App
